EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
0,0.99,2,0.001,500,-10,0,1001,1.00,1.00,4810.00,11.00,11.00,11
1,0.99,2,0.001,500,-10,0,1001,1.00,1.00,5280.00,11.50,11.50,12
2,0.99,2,0.001,500,-10,0,1001,1.00,1.00,4810.00,11.33,11.33,11
3,0.99,2,0.001,500,-10,0,1001,1.00,1.00,5200.00,11.50,11.50,12
4,0.99,2,0.001,500,-10,0,1001,1.00,1.00,6970.00,12.20,12.20,15
5,0.99,2,0.001,500,-10,0,1001,1.00,1.00,6280.00,12.50,12.50,14
6,0.99,2,0.001,500,-10,0,1001,1.00,1.00,7860.00,13.14,13.14,17
7,0.99,2,0.001,500,-10,0,1001,1.00,1.00,6340.00,13.25,13.25,14
8,0.99,2,0.001,500,-10,0,1001,0.00,1.00,6850.00,13.44,13.44,15
9,0.99,2,0.001,500,-10,0,1001,1.00,1.00,6710.00,13.60,13.60,15
10,0.99,2,0.001,500,-10,0,1001,1.00,1.00,7490.00,13.82,14.10,16
11,0.99,2,0.001,500,-10,0,1001,1.00,1.00,8050.00,14.08,14.60,17
12,0.99,2,0.001,500,-10,0,1001,1.00,1.00,7530.00,14.23,15.10,16
13,0.99,2,0.001,500,-10,0,1001,1.00,1.00,7380.00,14.36,15.50,16
14,0.99,2,0.001,500,-10,0,1001,1.00,1.00,8380.00,14.60,15.80,18
15,0.99,2,0.001,500,-10,0,1001,1.00,0.50,8550.00,14.81,16.20,18
16,0.99,2,0.001,500,-10,0,1001,1.00,1.00,8900.00,15.06,16.40,19
17,0.99,2,0.001,500,-10,0,1001,1.00,1.00,9530.00,15.33,17.00,20
18,0.99,2,0.001,500,-10,0,1001,1.00,1.00,7770.00,15.42,17.20,17
19,0.99,2,0.001,500,-10,0,1001,0.00,1.00,8290.00,15.55,17.50,18
20,0.99,2,0.001,500,-10,0,1001,0.00,1.00,8330.00,15.67,17.70,18
21,0.99,2,0.001,500,-10,0,1001,0.00,1.00,9490.00,15.86,18.00,20
22,0.99,2,0.001,500,-10,0,1001,1.00,0.50,9470.00,16.04,18.40,20
23,0.99,2,0.001,500,-10,0,1001,0.00,0.50,9400.00,16.21,18.80,20
24,0.99,2,0.001,500,-10,0,1001,1.00,0.50,7780.00,16.24,18.70,17
25,0.99,2,0.001,500,-10,0,1001,1.00,1.00,9430.00,16.38,18.90,20
26,0.99,2,0.001,500,-10,0,1001,0.00,1.00,7760.00,16.41,18.70,17
27,0.99,2,0.001,500,-10,0,1001,1.00,1.00,9400.00,16.54,18.70,20
28,0.99,2,0.001,500,-10,0,1001,0.00,1.00,8290.00,16.59,18.80,18
29,0.99,2,0.001,500,-10,0,1001,0.00,0.50,8330.00,16.63,18.80,18
30,0.99,2,0.001,500,-10,0,1001,1.00,0.50,7880.00,16.65,18.70,17
31,0.99,2,0.001,500,-10,0,1001,0.00,0.50,10440.00,16.81,18.90,22
32,0.99,2,0.001,500,-10,0,1001,1.00,1.00,9480.00,16.91,18.90,20
33,0.99,2,0.001,500,-10,0,1001,0.00,1.00,9350.00,17.00,18.90,20
34,0.99,2,0.001,500,-10,0,1001,0.00,0.33,10470.00,17.14,19.40,22
