EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
0,0.99,2,5,500,-10,0,1001,1.00,1.00,4790.00,11.00,11.00,11
1,0.99,2,5,500,-10,0,1001,1.00,1.00,4740.00,11.00,11.00,11
2,0.99,2,5,500,-10,0,1001,1.00,1.00,6020.00,11.67,11.67,13
3,0.99,2,5,500,-10,0,1001,1.00,1.00,5930.00,12.00,12.00,13
4,0.99,2,5,500,-10,0,1001,1.00,1.00,6390.00,12.40,12.40,14
5,0.99,2,5,500,-10,0,1001,1.00,1.00,5900.00,12.50,12.50,13
6,0.99,2,5,500,-10,0,1001,1.00,1.00,5480.00,12.43,12.43,12
7,0.99,2,5,500,-10,0,1001,0.83,1.00,5860.00,12.50,12.50,13
8,0.99,2,5,500,-10,0,1001,1.00,1.00,5270.00,12.44,12.44,12
9,0.99,2,5,500,-10,0,1001,1.00,1.00,5180.00,12.40,12.40,12
10,0.99,2,5,500,-10,0,1001,1.00,1.00,5160.00,12.36,12.50,12
11,0.99,2,5,500,-10,0,1001,1.00,1.00,6520.00,12.50,12.80,14
12,0.99,2,5,500,-10,0,1001,0.83,1.00,7110.00,12.69,13.00,15
13,0.99,2,5,500,-10,0,1001,0.83,0.50,5210.00,12.64,12.90,12
14,0.99,2,5,500,-10,0,1001,1.00,1.00,5830.00,12.67,12.80,13
15,0.99,2,5,500,-10,0,1001,0.83,0.50,4670.00,12.56,12.60,11
16,0.99,2,5,500,-10,0,1001,1.00,1.00,5280.00,12.53,12.60,12
17,0.99,2,5,500,-10,0,1001,0.83,0.50,5910.00,12.56,12.60,13
18,0.99,2,5,500,-10,0,1001,0.83,1.00,4790.00,12.47,12.50,11
19,0.99,2,5,500,-10,0,1001,1.00,1.00,8150.00,12.70,13.00,17
20,0.99,2,5,500,-10,0,1001,0.83,1.00,5200.00,12.67,13.00,12
21,0.99,2,5,500,-10,0,1001,1.00,1.00,5900.00,12.68,12.90,13
22,0.99,2,5,500,-10,0,1001,1.00,1.00,5880.00,12.70,12.70,13
23,0.99,2,5,500,-10,0,1001,1.00,1.00,5700.00,12.71,12.80,13
