EPOQUE,GAMMA,AVAILABLE_ACTIONS,N0,REWARD_IF_CROSS,REWARD_IF_COLLISION,REWARD_IF_STILL,TOTAL_EPOQUE,EPSILON,ALPHA,TOTAL_REWARDS,MEAN_SCORE,MEAN_SCORE_[-10],SCORE
0,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 800.00,13.00,13.00,13
1,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 850.00,13.50,13.50,14
2,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 410.00,13.00,13.00,12
3,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 630.00,13.00,13.00,13
4,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 390.00,12.60,12.60,11
5,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 710.00,12.67,12.67,13
6,0.99,2,5.0,100,-10,0,1001,0.83,0.50, 260.00,12.43,12.43,11
7,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 870.00,12.62,12.62,14
8,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 460.00,12.44,12.44,11
9,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 590.00,12.40,12.40,12
10,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 930.00,12.55,12.50,14
11,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 360.00,12.50,12.30,12
12,0.99,2,5.0,100,-10,0,1001,0.83,0.50, 610.00,12.54,12.40,13
13,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 400.00,12.43,12.20,11
14,0.99,2,5.0,100,-10,0,1001,0.83,1.00, 570.00,12.40,12.30,12
15,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 310.00,12.31,12.10,11
16,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 690.00,12.35,12.30,13
17,0.99,2,5.0,100,-10,0,1001,0.71,1.00, 470.00,12.33,12.10,12
18,0.99,2,5.0,100,-10,0,1001,0.83,1.00, 330.00,12.32,12.20,12
19,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 710.00,12.35,12.30,13
20,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 910.00,12.48,12.40,15
21,0.99,2,5.0,100,-10,0,1001,1.00,0.50, 690.00,12.50,12.50,13
22,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 630.00,12.52,12.50,13
23,0.99,2,5.0,100,-10,0,1001,0.83,1.00, 720.00,12.54,12.70,13
24,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 410.00,12.52,12.70,12
25,0.99,2,5.0,100,-10,0,1001,0.83,1.00, 580.00,12.54,12.90,13
26,0.99,2,5.0,100,-10,0,1001,0.71,1.00, 560.00,12.56,12.90,13
27,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 330.00,12.54,12.90,12
28,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 710.00,12.59,13.10,14
29,0.99,2,5.0,100,-10,0,1001,0.62,0.50, 970.00,12.67,13.30,15
30,0.99,2,5.0,100,-10,0,1001,0.83,1.00, 680.00,12.68,13.10,13
31,0.99,2,5.0,100,-10,0,1001,0.71,0.50, 740.00,12.72,13.20,14
32,0.99,2,5.0,100,-10,0,1001,0.62,1.00, 590.00,12.73,13.20,13
33,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 720.00,12.79,13.40,15
34,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 340.00,12.77,13.40,12
35,0.99,2,5.0,100,-10,0,1001,0.83,1.00, 890.00,12.83,13.60,15
36,0.99,2,5.0,100,-10,0,1001,0.71,1.00, 690.00,12.86,13.70,14
37,0.99,2,5.0,100,-10,0,1001,0.83,1.00, 670.00,12.89,13.90,14
38,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 760.00,12.92,13.90,14
39,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 660.00,12.95,13.80,14
40,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 330.00,12.93,13.70,12
41,0.99,2,5.0,100,-10,0,1001,0.71,1.00, 690.00,12.95,13.70,14
42,0.99,2,5.0,100,-10,0,1001,0.83,1.00, 750.00,12.98,13.80,14
43,0.99,2,5.0,100,-10,0,1001,0.71,1.00, 460.00,12.95,13.50,12
44,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 650.00,12.96,13.60,13
45,0.99,2,5.0,100,-10,0,1001,0.56,0.50, 840.00,13.00,13.60,15
46,0.99,2,5.0,100,-10,0,1001,0.71,0.50, 780.00,13.02,13.60,14
47,0.99,2,5.0,100,-10,0,1001,0.62,1.00, 660.00,13.04,13.60,14
48,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 510.00,13.06,13.60,14
49,0.99,2,5.0,100,-10,0,1001,0.83,0.50,1010.00,13.12,13.80,16
50,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 830.00,13.14,14.00,14
51,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 720.00,13.15,14.00,14
52,0.99,2,5.0,100,-10,0,1001,1.00,0.50,1260.00,13.23,14.30,17
53,0.99,2,5.0,100,-10,0,1001,0.83,0.50, 820.00,13.26,14.60,15
54,0.99,2,5.0,100,-10,0,1001,1.00,1.00, 960.00,13.29,14.80,15
55,0.99,2,5.0,100,-10,0,1001,0.83,1.00,1040.00,13.34,14.90,16
56,0.99,2,5.0,100,-10,0,1001,0.83,1.00, 840.00,13.37,15.00,15
57,0.99,2,5.0,100,-10,0,1001,0.83,0.33, 860.00,13.40,15.10,15
