Epsilon;Alpha;Gamma;Epochs_learn;Penalties_learn;Epochs_eval;Penalties_eval;Worked
0.1;0.1;0.1;1863729;57483;100090;0;False
0.1;0.1;0.2;1726931;53101;1303;0;True
0.1;0.1;0.30000000000000004;1676986;50914;1338;0;True
0.1;0.1;0.4;1644669;50451;1276;0;True
0.1;0.1;0.5;1615860;48763;1344;0;True
0.1;0.1;0.6;1595040;48789;1311;0;True
0.1;0.1;0.7000000000000001;1575776;48004;1281;0;True
0.1;0.1;0.8;1559615;47883;1296;0;True
0.1;0.1;0.9;1550578;47878;1294;0;True
0.1;0.2;0.1;1631932;49976;1272;0;True
0.1;0.2;0.2;1593301;48318;1339;0;True
0.1;0.2;0.30000000000000004;1571157;47429;1312;0;True
0.1;0.2;0.4;1554671;47153;1327;0;True
0.1;0.2;0.5;1544597;46791;1336;0;True
0.1;0.2;0.6;1534569;46564;1279;0;True
0.1;0.2;0.7000000000000001;1527881;46031;1344;0;True
0.1;0.2;0.8;1520311;46165;1288;0;True
0.1;0.2;0.9;1513669;46126;1353;0;True
0.1;0.30000000000000004;0.1;1632800;49668;1254;0;True
0.1;0.30000000000000004;0.2;1551327;46704;1319;0;True
0.1;0.30000000000000004;0.30000000000000004;1534294;46421;1321;0;True
0.1;0.30000000000000004;0.4;1522983;45805;1238;0;True
0.1;0.30000000000000004;0.5;1516618;45713;1294;0;True
0.1;0.30000000000000004;0.6;1513913;45934;1318;0;True
0.1;0.30000000000000004;0.7000000000000001;1507766;45174;1311;0;True
0.1;0.30000000000000004;0.8;1505430;45113;1321;0;True
0.1;0.30000000000000004;0.9;1503792;45754;1318;0;True
0.1;0.4;0.1;1541861;46380;1285;0;True
0.1;0.4;0.2;1524194;45864;1301;0;True
0.1;0.4;0.30000000000000004;1517167;45516;1311;0;True
0.1;0.4;0.4;1510895;45577;1364;0;True
0.1;0.4;0.5;1505890;45355;1277;0;True
0.1;0.4;0.6;1501609;44986;1317;0;True
0.1;0.4;0.7000000000000001;1500072;45257;1332;0;True
0.1;0.4;0.8;1499689;45133;1283;0;True
0.1;0.4;0.9;1495941;44789;1319;0;True
0.1;0.5;0.1;1522721;45900;1286;0;True
0.1;0.5;0.2;1511490;45547;1318;0;True
0.1;0.5;0.30000000000000004;1505045;45434;1335;0;True
0.1;0.5;0.4;1499640;45076;1290;0;True
0.1;0.5;0.5;1499136;45205;1331;0;True
0.1;0.5;0.6;1496485;45138;1299;0;True
0.1;0.5;0.7000000000000001;1494816;45179;1345;0;True
0.1;0.5;0.8;1494251;44787;1315;0;True
0.1;0.5;0.9;1495547;45124;1294;0;True
0.1;0.6;0.1;1512655;45562;1261;0;True
0.1;0.6;0.2;1504477;45240;1287;0;True
0.1;0.6;0.30000000000000004;1500254;45349;1285;0;True
0.1;0.6;0.4;1494284;45095;1313;0;True
0.1;0.6;0.5;1493377;44891;1335;0;True
0.1;0.6;0.6;1492925;44983;1304;0;True
0.1;0.6;0.7000000000000001;1490181;44832;1292;0;True
0.1;0.6;0.8;1489863;44940;1335;0;True
0.1;0.6;0.9;1491076;44797;1343;0;True
0.1;0.7000000000000001;0.1;1502295;45305;1271;0;True
0.1;0.7000000000000001;0.2;1496127;45483;1327;0;True
0.1;0.7000000000000001;0.30000000000000004;1495325;45026;1313;0;True
0.1;0.7000000000000001;0.4;1491138;44779;1277;0;True
0.1;0.7000000000000001;0.5;1487290;44622;1338;0;True
0.1;0.7000000000000001;0.6;1487541;44814;1278;0;True
0.1;0.7000000000000001;0.7000000000000001;1488613;44637;1259;0;True
0.1;0.7000000000000001;0.8;1488045;44731;1295;0;True
0.1;0.7000000000000001;0.9;1489224;44656;1327;0;True
0.1;0.8;0.1;1496899;45218;1324;0;True
0.1;0.8;0.2;1491744;44590;1314;0;True
0.1;0.8;0.30000000000000004;1489489;44967;1286;0;True
0.1;0.8;0.4;1488587;44927;1344;0;True
0.1;0.8;0.5;1487738;44698;1311;0;True
0.1;0.8;0.6;1488169;44970;1329;0;True
0.1;0.8;0.7000000000000001;1486550;44943;1302;0;True
0.1;0.8;0.8;1485207;44528;1272;0;True
0.1;0.8;0.9;1489647;44892;1287;0;True
0.1;0.9;0.1;1489200;44654;1265;0;True
0.1;0.9;0.2;1489202;44632;1308;0;True
0.1;0.9;0.30000000000000004;1486395;44569;1307;0;True
0.1;0.9;0.4;1487038;44642;1293;0;True
0.1;0.9;0.5;1488969;45158;1314;0;True
0.1;0.9;0.6;1486275;44681;1287;0;True
0.1;0.9;0.7000000000000001;1489316;44784;1357;0;True
0.1;0.9;0.8;1486593;44775;1345;0;True
0.1;0.9;0.9;1486683;44636;1286;0;True
0.2;0.1;0.1;2058776;124894;100088;0;False
0.2;0.1;0.2;1940291;117699;1355;0;True
0.2;0.1;0.30000000000000004;1892069;114607;1310;0;True
0.2;0.1;0.4;1857720;111991;1236;0;True
0.2;0.1;0.5;1828599;109860;1276;0;True
0.2;0.1;0.6;1804763;108715;1291;0;True
0.2;0.1;0.7000000000000001;1788605;108148;1289;0;True
0.2;0.1;0.8;1769812;106257;1306;0;True
0.2;0.1;0.9;1762649;105629;1307;0;True
0.2;0.2;0.1;1841485;110701;1334;0;True
0.2;0.2;0.2;1801197;108001;1287;0;True
0.2;0.2;0.30000000000000004;1780033;106688;1287;0;True
0.2;0.2;0.4;1765008;105913;1324;0;True
0.2;0.2;0.5;1752137;105123;1319;0;True
0.2;0.2;0.6;1740182;104076;1320;0;True
0.2;0.2;0.7000000000000001;1731987;104274;1344;0;True
